,price,location,Garden,Resale,Area,Parking,Furnished
266,₹2.50 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",yes,yes,Area845,1,0
267,₹2.80 Cr ,"2 BHK Flat for Sale in Mahim West, Mumbai",no,yes,Area1000,0,1
268,₹1.62 Cr ,"2 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area680,1,1
269,₹2 Cr ,"3 BHK Flat for Sale in Bangur Nagar, Mumbai",yes,yes,Area700,0,1
270,₹24.5 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",no,yes,Area263,0,0
271,₹1.15 Cr ,"1 BHK Flat for Sale in Mulund East, Mumbai",no,yes,Area546,0,0
272,₹1 Cr ,"2 BHK Flat for Sale in Kalbadevi, Mumbai",no,yes,Area600,0,1
273,₹1 Cr ,"1 BHK Flat for Sale in Goregaon West, Mumbai",no,yes,Area630,0,1
274,₹71.5 Lac ,"1 BHK Flat for Sale in Kokan Nagar Bhandup West, Mumbai",no,yes,Area360,0,1
275,₹2.65 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area845,1,1
276,₹1.29 Cr ,1 BHK Flat for Sale in Mumbai,no,yes,Area490,0,1
277,₹3 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",no,yes,Area1100,0,1
278,₹2.25 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area850,1,1
279,₹1.30 Cr ,"1 BHK Flat for Sale in Bandra West, Mumbai",no,yes,Area292,0,0
280,₹86 Lac ,"2 BHK Flat for Sale in Mira Road East, Mumbai",yes,yes,Area560,1,1
281,₹48 Lac ,"1 BHK Flat for Sale in Kajuwadi, Mumbai",no,yes,Area285,0,0
282,₹3.50 Cr ,"3 BHK Flat for Sale in Old Nagardas Road, Mumbai",yes,yes,Area1370,0,0
283,₹3.50 Cr ,"3 BHK Flat for Sale in Borivali West, Mumbai",yes,yes,Area1400,1,1
284,₹2.05 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",no,yes,Area682,1,1
285,₹1.50 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",yes,yes,Area572,1,1
286,₹26 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area300,0,0
287,₹90 Lac ,"1 BHK Flat for Sale in Ghatkopar, Mumbai",no,yes,Area675,0,1
288,₹2.51 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area760,1,1
289,₹1 Cr ,"1 BHK Flat for Sale in Bhandup East, Mumbai",yes,yes,Area480,0,0
290,₹1.20 Cr ,"1 BHK Flat for Sale in Santacruz West, Mumbai",yes,yes,Area410,0,0
291,₹1 Cr ,3 BHK Flat for Sale in Mumbai,no,yes,Area940,0,1
292,₹1.55 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area700,1,1
293,₹90 Lac ,"1 BHK Flat for Sale in Kurla East, Mumbai",yes,yes,Area600,0,0
294,₹42 Lac ,"1 BHK Flat for Sale in Vasai West, Mumbai",yes,yes,Area500,0,0
295,₹36 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",yes,yes,Area575,0,1
296,₹1.87 Cr ,"2 BHK Flat for Sale in Ghatla, Mumbai",no,yes,Area580,0,1
297,₹3.90 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",yes,no,Area1300,1,1
298,₹8.74 Cr ,"3 BHK Flat for Sale in Goregaon East, Mumbai",yes,yes,Area1894,1,0
299,₹1.75 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area500,0,0
300,₹47 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",yes,yes,Area566,1,0
301,₹1.06 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",no,yes,Area501,1,0
302,₹5.35 Cr ,"3 BHK Flat for Sale in Dadar West, Mumbai",yes,yes,Area950,1,1
303,₹1.30 Cr ,1 BHK Flat for Sale in Mumbai,no,yes,Area650,0,1
304,₹70 Lac ,"1 BHK Flat for Sale in Kandivali East, Mumbai",no,yes,Area269,0,0
305,₹70 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area740,0,0
306,₹91 Lac ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",no,yes,Area995,0,1
307,₹36 Lac ," Studio Apartment for Sale in Malad West, Mumbai",no,yes,Area324,0,1
308,₹38 Lac ,"1 BHK Flat for Sale in Sector 3 Charkop, Mumbai",yes,yes,Area220,0,1
309,₹2.80 Cr ,"3 BHK Flat for Sale in Shell Colony, Mumbai",yes,yes,Area1200,1,1
310,₹1.18 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area400,0,0
311,₹37 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area372,0,0
312,₹3.10 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area1250,0,0
313,₹40 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area250,0,0
314,₹2.35 Cr ,"2 BHK Flat for Sale in Golden Nest Phase 1, Mumbai",yes,yes,Area776,0,1
315,₹2.70 Cr ,"2 BHK Flat for Sale in Adarsh Nagar Malad West, Mumbai",yes,yes,Area745,0,0
316,₹2.20 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area706,1,0
317,₹1.77 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",no,yes,Area598,0,0
318,₹1.25 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area430,0,0
319,₹80 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area400,0,1
320,₹32 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",no,yes,Area250,0,1
321,₹1 Cr ,"1 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area650,0,1
322,₹1.75 Cr ,"1 BHK Flat for Sale in Marine Lines, Mumbai",yes,yes,Area367,0,0
323,₹1.55 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",yes,no,Area625,1,1
324,₹68 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area404,1,1
325,₹2.60 Cr ,"2 BHK Flat for Sale in Vile Parle, Mumbai",no,yes,Area750,1,1
326,₹2 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",no,yes,Area698,0,0
327,₹3.60 Cr ,"2 BHK Flat for Sale in Mindspace, Mumbai",yes,yes,Area738,1,1
328,₹87 Lac ,"1 BHK Flat for Sale in Kanjurmarg East, Mumbai",no,yes,Area381,0,0
329,₹4.45 Cr ,"2 BHK Flat for Sale in Girgaon, Mumbai",no,no,Area646,0,0
330,₹3.50 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",yes,yes,Area950,0,1
331,₹28 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",yes,yes,Area555,1,1
332,₹91 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area440,0,0
333,₹4.26 Cr ,"3 BHK Flat for Sale in Sundar Nagar Santacruz East, Mumbai",yes,no,Area1184,0,0
334,₹1.05 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",no,yes,Area431,0,1
335,₹2.11 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area1020,1,0
336,₹2.85 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area875,0,1
337,₹54 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",yes,yes,Area410,1,1
338,₹75 Lac ,"1 BHK Flat for Sale in Mhatre Wadi Dahisar West, Mumbai",no,yes,Area365,0,0
339,₹1.05 Cr ,"1 BHK Flat for Sale in Thakur Complex, Mumbai",no,yes,Area450,0,1
340,₹1.05 Cr ,"1 BHK Flat for Sale in MHADA Colony Chandivali, Mumbai",no,yes,Area725,1,1
341,₹2.45 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",no,yes,Area525,0,0
342,₹3.10 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",yes,yes,Area1000,1,1
343,₹1.60 Cr ,"2 BHK Flat for Sale in Lal Dongar, Mumbai",yes,yes,Area662,1,1
344,₹81 Lac ,"2 BHK Flat for Sale in Mira Road, Mumbai",no,yes,Area1200,0,1
345,₹1.10 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",yes,yes,Area450,0,0
346,₹2.95 Cr ,"2 BHK Flat for Sale in Fort, Mumbai",no,yes,Area763,0,1
347,₹4 Cr ,"3 BHK Flat for Sale in Vakola, Mumbai",no,yes,Area885,0,1
348,₹70 Lac ,"1 BHK Flat for Sale in Utkarsh Nagar, Mumbai",no,yes,Area323,0,0
349,₹1.12 Cr ,"1 BHK Flat for Sale in Mankhurd, Mumbai",yes,yes,Area480,0,0
350,₹25 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area362,0,1
351,₹88 Lac ,"1 BHK Flat for Sale in Bandra East, Mumbai",no,yes,Area322,0,0
352,₹52 Lac ,"1 BHK Flat for Sale in Mira Road East, Mumbai",yes,yes,Area463,1,1
353,₹85 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area350,0,1
354,₹62 Lac ,"2 BHK Flat for Sale in Yashvant Viva Township, Mumbai",yes,yes,Area865,1,1
355,₹96 Lac ,"1 BHK Flat for Sale in Jogeshwari East, Mumbai",no,yes,Area410,0,0
356,₹1.05 Cr ,"1 BHK Flat for Sale in Bhandup West, Mumbai",yes,no,Area536,1,1
357,₹55 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",no,yes,Area571,0,1
358,₹1.75 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area522,0,1
359,₹61 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area385,0,1
360,₹90 Lac ,"1 BHK Flat for Sale in Powai, Mumbai",no,yes,Area305,0,0
361,₹1.75 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area1230,0,0
362,₹1.90 Cr ,"2 BHK Flat for Sale in Sector 9 Charkop, Mumbai",no,yes,Area752,0,1
363,₹1.50 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area1000,0,1
364,₹1.75 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area750,0,1
365,₹4.60 Cr ,"2 BHK Flat for Sale in Matunga West, Mumbai",yes,yes,Area1200,0,0
366,₹1.90 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",no,yes,Area980,0,1
367,₹1.80 Cr ,"2 BHK Flat for Sale in Pimpripada, Mumbai",no,no,Area689,1,1
368,₹2.15 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area610,0,0
369,₹2.80 Cr ,"3 BHK Flat for Sale in Mulund East, Mumbai",yes,yes,Area866,0,0
370,₹39 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",no,yes,Area890,0,1
371,₹1.70 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area1000,1,1
372,₹1.55 Cr ,"3 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area1385,0,1
373,₹3.75 Cr ,"2 BHK Flat for Sale in Reclamation, Mumbai",no,yes,Area601,0,1
374,₹2.50 Cr ,"3 BHK Flat for Sale in Dahanukar Wadi, Mumbai",yes,yes,Area863,1,1
375,₹35 Lac ,"1 BHK Flat for Sale in Buddha Galli, Mumbai",no,yes,Area315,0,1
376,₹36 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",yes,yes,Area550,0,1
377,₹1.20 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",no,yes,Area800,0,1
378,₹9.95 Cr ,"5 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area4065,0,1
379,₹38.5 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area535,0,0
380,₹95 Lac ,"3 BHK Flat for Sale in Vasai East, Mumbai",yes,yes,Area886,1,1
381,₹6.10 Cr ,"3 BHK Flat for Sale in Matunga East, Mumbai",yes,yes,Area1102,0,0
382,₹1.30 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",yes,yes,Area576,1,0
383,₹2.15 Cr ,"2 BHK Flat for Sale in Jacob Circle, Mumbai",no,yes,Area650,0,1
384,₹75 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area300,1,1
385,₹69 Lac ,1 BHK Flat for Sale in Mumbai,yes,yes,Area298,0,0
386,₹32 Lac ,"1 BHK Flat for Sale in Bolinj, Mumbai",no,yes,Area460,0,1
387,₹8 Cr ,"4 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area2250,1,1
388,₹83 Lac ,"2 BHK Flat for Sale in Goregaon, Mumbai",no,yes,Area481,1,1
389,₹2.10 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",yes,yes,Area780,0,1
390,₹60 Lac ,"2 BHK Flat for Sale in Nalasopara East, Mumbai",no,yes,Area582,0,0
391,₹3.50 Cr ,"2 BHK Flat for Sale in Juhu Scheme, Mumbai",yes,yes,Area800,0,1
392,₹5.50 Cr ,"2 BHK Flat for Sale in Colaba, Mumbai",no,yes,Area850,0,0
393,₹6.50 Cr ,"3 BHK Flat for Sale in Lal Baug, Mumbai",no,yes,Area1836,0,1
394,₹1.85 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",no,yes,Area644,0,1
395,₹1.40 Cr ,"2 BHK Flat for Sale in Tilak Nagar Chembur, Mumbai",no,yes,Area650,0,1
396,₹36.5 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",no,yes,Area475,0,0
397,₹95 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area300,0,0
398,₹5.25 Cr ,"3 BHK Flat for Sale in Agripada, Mumbai",no,yes,Area1250,1,0
399,₹2.50 Cr ,"2 BHK Flat for Sale in Goregaon Mulund Link Road, Mumbai",yes,yes,Area763,1,1
400,₹53.5 Lac ,"2 BHK Flat for Sale in Naigaon East, Mumbai",no,yes,Area570,0,0
401,₹62 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area430,1,0
402,₹46 Lac ,"2 BHK Flat for Sale in Agashi, Mumbai",yes,yes,Area560,0,0
403,₹2.50 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area650,0,1
404,₹3 Cr ,"2 BHK Flat for Sale in Sion East, Mumbai",yes,yes,Area697,1,1
405,₹35 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area400,1,0
406,₹2.55 Cr ,"3 BHK Flat for Sale in Dahisar East, Mumbai",no,yes,Area888,1,1
407,₹16 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",no,yes,Area450,1,1
408,₹2.25 Cr ,"2 BHK Flat for Sale in Swami Vivekananda Road, Mumbai",no,yes,Area675,0,1
409,₹80 Lac ,1 BHK Flat for Sale in Mumbai,yes,yes,Area250,0,0
410,₹20 Lac ," Studio Apartment for Sale in Virar East, Mumbai",no,yes,Area365,1,1
411,₹35 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",no,yes,Area530,0,1
412,₹93 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area530,0,1
413,₹2.50 Cr ,"2 BHK Flat for Sale in Deonar Govandi East, Mumbai",yes,yes,Area710,1,1
414,₹1.65 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",no,yes,Area900,0,1
415,₹3.50 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",no,yes,Area701,0,0
416,₹5.58 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",no,yes,Area1413,0,1
417,₹90.5 Lac ,"1 BHK Flat for Sale in Dahisar West, Mumbai",no,yes,Area452,0,0
418,₹3.06 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area1100,0,0
419,₹65 Lac ,"1 BHK Flat for Sale in Mira Road, Mumbai",yes,yes,Area555,1,1
420,₹2.30 Cr ,"2 BHK Flat for Sale in Sunder Nagar Santacruz East, Mumbai",no,yes,Area700,1,1
421,₹45 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area380,0,1
422,₹65 Lac ,"1 BHK Flat for Sale in Ghodapdeo, Mumbai",yes,yes,Area225,0,0
423,₹99 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",no,no,Area421,0,0
424,₹3.05 Cr ,"3 BHK Flat for Sale in Shell Colony, Mumbai",yes,yes,Area1169,1,1
425,₹45 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area650,1,0
426,₹1.50 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area396,1,1
427,₹1.75 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",yes,yes,Area600,0,1
428,₹1.30 Cr ,"2 BHK Flat for Sale in Babrekar Nagar Kandivali West, Mumbai",no,yes,Area557,0,1
429,₹2.25 Cr ,"2 BHK Flat for Sale in Wadala East, Mumbai",no,yes,Area650,0,1
430,₹25 Lac ,"2 BHK Flat for Sale in Ulhasnagar, Mumbai",no,yes,Area780,0,1
431,₹2.10 Cr ,"2 BHK Flat for Sale in Gokuldham Colony Goregaon East, Mumbai",yes,yes,Area732,1,1
432,₹1.25 Cr ,"2 BHK Flat for Sale in Jankalyan Nagar, Mumbai",no,yes,Area912,0,0
433,₹1 Cr ,"1 BHK Flat for Sale in Bhandup West, Mumbai",no,yes,Area430,0,1
434,₹65 Lac ,"3 BHK Flat for Sale in Vasai, Mumbai",yes,yes,Area750,1,1
435,₹3.60 Cr ,"2 BHK Flat for Sale in Hiranandani Gardens, Mumbai",yes,yes,Area777,0,0
436,₹9.50 Cr ,"3 BHK Flat for Sale in Vile Parle West, Mumbai",yes,yes,Area1535,1,1
437,₹1.52 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area377,0,0
438,₹1.80 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area1000,0,1
439,₹2.30 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",yes,yes,Area885,0,1
440,₹2.90 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area942,0,0
441,₹36 Lac ,"2 BHK Flat for Sale in Ulhasnagar, Mumbai",no,yes,Area820,0,1
442,₹1.20 Cr ,"1 BHK Flat for Sale in Dadar West, Mumbai",no,yes,Area450,0,0
443,₹2 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",yes,yes,Area800,1,1
444,₹1.35 Cr ,"1 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area383,0,1
445,₹2.65 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",yes,yes,Area723,1,0
446,₹2 Cr ,1 BHK Flat for Sale in Mumbai,no,yes,Area535,0,1
447,₹64 Lac ," Studio Apartment for Sale in Malad West, Mumbai",no,no,Area230,0,0
448,₹90 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area368,0,0
449,₹1.79 Cr ,"2 BHK Flat for Sale in Kalina, Mumbai",no,yes,Area577,0,0
450,₹6.75 Cr ,"4 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area1400,1,1
451,₹1.65 Cr ,"2 BHK Flat for Sale in Dattapada, Mumbai",no,no,Area589,0,0
452,₹2.75 Cr ,"3 BHK Flat for Sale in Nagpada, Mumbai",no,yes,Area780,0,1
453,₹1.70 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",no,yes,Area776,1,0
454,₹1.10 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",yes,yes,Area500,0,0
455,₹1.70 Cr ,"1 BHK Flat for Sale in Agripada, Mumbai",no,yes,Area311,0,0
456,₹2 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area700,0,1
457,₹1.70 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area585,1,0
458,₹1.45 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",yes,yes,Area550,1,1
459,₹1.71 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",yes,yes,Area570,0,1
460,₹1.70 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",no,yes,Area672,0,0
461,₹42 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",yes,yes,Area460,1,0
462,₹3.10 Cr ,"2 BHK Flat for Sale in Khar West, Mumbai",no,yes,Area680,0,0
463,₹1.40 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",no,yes,Area765,0,1
464,₹5 Cr ,"4 BHK Flat for Sale in Mahim West, Mumbai",no,yes,Area1315,1,1
465,₹1.45 Cr ,"1 BHK Flat for Sale in Parel, Mumbai",yes,yes,Area378,0,0
466,₹1.80 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area780,1,1
467,₹1.25 Cr ,"1 BHK Flat for Sale in MIDC Industrial Estate, Mumbai",yes,yes,Area476,1,1
468,₹3 Cr ,2 BHK Flat for Sale in Mumbai,no,yes,Area1080,0,0
469,₹3.60 Cr ,"3 BHK Flat for Sale in Ghatkopar East, Mumbai",yes,yes,Area1150,1,0
470,₹52 Lac ,"1 BHK Flat for Sale in Bhayandar West, Mumbai",no,yes,Area500,0,1
471,₹2.75 Cr ,"2 BHK Flat for Sale in Juhu Tara Road, Mumbai",no,yes,Area725,1,0
472,₹42 Lac ,"1 BHK Flat for Sale in Gokul Township, Mumbai",yes,yes,Area700,0,0
473,₹4 Cr ,"2 BHK Flat for Sale in Bandra East, Mumbai",no,yes,Area1000,0,1
474,₹4.50 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",yes,yes,Area1983,0,0
475,₹2.70 Cr ,"2 BHK Flat for Sale in Santacruz West, Mumbai",no,yes,,0,0
476,₹1.10 Cr ,"1 BHK Flat for Sale in Gorai, Mumbai",no,yes,Area390,0,1
477,₹85 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area600,0,0
478,₹1.10 Cr ,1 BHK Flat for Sale in Mumbai,no,yes,Area350,0,1
479,₹1.27 Cr ,"2 BHK Flat for Sale in Kanjurmarg West, Mumbai",no,yes,Area471,1,1
480,₹90 Lac ,"1 BHK Flat for Sale in Gavanpada Mulund East, Mumbai",yes,yes,Area480,1,0
481,₹10 Cr ,"3 BHK Flat for Sale in Pali Hill, Mumbai",no,yes,Area1600,0,1
482,₹1.25 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area387,0,0
483,₹1.30 Cr ,"1 BHK Flat for Sale in Oshiwara, Mumbai",no,yes,Area695,0,0
484,₹54 Lac ,"2 BHK Flat for Sale in Naigaon East, Mumbai",yes,yes,Area550,1,1
485,₹1.60 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area750,1,1
486,₹65 Lac ,"1 BHK Flat for Sale in Gundavali, Mumbai",no,yes,Area275,0,0
487,₹45.5 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area441,0,1
488,₹52 Lac ,"1 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area246,0,1
489,₹1.85 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",yes,yes,Area720,0,1
490,₹1.36 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",no,yes,Area657,0,1
491,₹1.59 Cr ,"1 BHK Flat for Sale in Byculla, Mumbai",no,yes,Area429,0,0
492,₹1.95 Cr ,"1 BHK Flat for Sale in Prabhadevi, Mumbai",yes,yes,Area390,0,1
493,₹1.14 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",no,yes,Area820,0,0
494,₹1.50 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area420,1,0
495,₹1.69 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",no,yes,Area1200,0,0
496,₹1.05 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",no,yes,Area509,0,1
497,₹1.40 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",yes,yes,Area609,0,0
498,₹1.95 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area623,0,0
499,₹1.25 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",no,yes,Area938,0,0
500,₹64.5 Lac ,"2 BHK Flat for Sale in Vasai, Mumbai",no,yes,Area750,1,0
501,₹90 Lac ,"1 BHK Flat for Sale in Gokuldham Colony Goregaon East, Mumbai",no,yes,Area435,0,1
502,₹1.76 Cr ,"2 BHK Flat for Sale in NL Complex, Mumbai",no,yes,Area650,0,1
503,₹14 Lac ,"1 BHK Flat for Sale in Ambivali, Mumbai",no,yes,Area233,0,0
504,₹65 Lac ,"1 BHK Flat for Sale in Kandivali East, Mumbai",no,yes,Area330,0,0
505,₹1.39 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area410,0,0
506,₹81 Lac ,"1 BHK Flat for Sale in Powai, Mumbai",yes,yes,Area405,0,1
507,₹85 Lac ,"2 BHK Flat for Sale in Vasai West, Mumbai",yes,yes,Area806,0,1
508,₹4 Cr ,"3 BHK Flat for Sale in Thakur Complex, Mumbai",yes,yes,Area1463,1,1
509,₹70 Lac ,"2 BHK Flat for Sale in Taloja Bypass Road, Mumbai",no,no,Area693,0,1
510,₹24 Lac ,"1 BHK Flat for Sale in Nalasopara East, Mumbai",no,yes,Area383,0,1
511,₹3.25 Cr ,3 BHK Flat for Sale in Mumbai,no,yes,Area1000,0,1
512,₹51.5 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",yes,yes,Area400,0,0
513,₹4.10 Cr ,3 BHK Flat for Sale in Mumbai,no,yes,Area970,1,0
514,₹1.30 Cr ,"2 BHK Flat for Sale in Mitha Nagar, Mumbai",yes,no,Area550,0,1
515,₹84 Lac ,"2 BHK Flat for Sale in Bhandup East, Mumbai",no,yes,Area418,1,1
516,₹5.10 Cr ,"3 BHK Flat for Sale in Walkeshwar, Mumbai",no,yes,Area750,0,1
517,₹40 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",no,yes,Area440,0,1
518,₹14 Cr ,"6 BHK Flat for Sale in Juhu, Mumbai",yes,yes,Area1810,1,1
519,₹36 Lac ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",no,yes,Area623,0,0
520,₹75 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",no,yes,Area300,0,0
521,₹85 Lac ,3 BHK Flat for Sale in Mumbai,no,yes,Area800,0,1
522,₹3.70 Cr ,"3 BHK Flat for Sale in Wadala East, Mumbai",yes,yes,Area972,0,0
523,₹1.85 Cr ,"2 BHK Flat for Sale in Juhu, Mumbai",no,yes,Area750,0,1
524,₹1.95 Cr ,"2 BHK Flat for Sale in Chandivali, Mumbai",no,yes,Area650,1,0
525,₹1.95 Cr ,"2 BHK Flat for Sale in LBS Road, Mumbai",yes,yes,Area775,1,1
526,₹3.25 Cr ,"3 BHK Flat for Sale in Goregaon, Mumbai",yes,yes,Area932,0,1
527,₹2.80 Cr ,"2 BHK Flat for Sale in Chakala, Mumbai",no,yes,Area787,1,0
528,₹65 Lac ,"2 BHK Flat for Sale in Shanti Park, Mumbai",yes,yes,Area550,0,0
529,₹1.40 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",yes,yes,Area680,1,1
530,₹1.90 Cr ,"1 BHK Flat for Sale in Juhu, Mumbai",no,yes,Area560,0,0
531,₹90 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area450,1,1
532,₹1.15 Cr ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",yes,yes,Area497,0,0
